N,P,K,temperature,humidity,ph,rainfall,label
32.2,64.3,82.4,17.12,17.59,6.72,83.73,chickpea
39.8,57.8,83.5,17.9,15.38,7.5,89.19,chickpea
34.9,67.9,81.3,20.04,17.35,7.22,73.38,chickpea
40.4,61.1,71.2,19.65,18.81,6.22,71.92,chickpea
43.1,79.8,80.1,17.91,16.63,8.09,74.83,chickpea
36.0,64.6,77.1,19.18,20.25,7.56,77.98,chickpea
38.5,58.1,82.6,18.88,16.64,9.0,82.39,chickpea
36.2,64.9,83.4,19.17,14.12,7.86,74.65,chickpea
49.4,74.0,78.7,20.92,17.14,7.83,83.88,chickpea
35.8,63.6,83.1,18.5,16.19,6.92,83.39,chickpea
50.3,61.1,80.1,21.12,16.84,7.63,71.5,chickpea
42.1,66.4,83.0,20.78,22.18,7.69,82.61,chickpea
41.0,65.4,81.0,18.56,17.34,8.06,71.95,chickpea
45.7,75.4,79.6,15.82,15.78,8.05,79.82,chickpea
35.0,64.5,82.5,19.82,16.52,7.22,76.87,chickpea
35.4,77.2,79.0,20.83,20.04,7.9,76.55,chickpea
42.0,67.4,77.3,19.49,14.64,7.99,76.28,chickpea
41.0,69.2,79.2,19.88,16.05,7.84,69.23,chickpea
40.6,79.1,77.0,17.98,18.03,7.49,82.81,chickpea
42.4,71.3,83.3,19.61,16.52,7.74,95.2,chickpea
39.3,61.7,83.3,18.82,14.0,7.82,75.72,chickpea
39.5,69.5,80.6,20.06,16.13,7.66,77.92,chickpea
43.7,71.2,77.2,20.63,15.93,7.8,82.94,chickpea
49.2,66.2,79.0,18.97,16.39,7.8,67.07,chickpea
34.7,61.1,82.9,21.57,16.79,7.32,80.56,chickpea
45.8,61.9,80.7,20.46,18.0,7.49,88.01,chickpea
26.5,71.6,78.0,16.25,18.02,8.09,78.9,chickpea
44.8,77.2,83.9,21.46,18.48,7.44,67.18,chickpea
38.8,62.4,86.5,18.74,17.25,7.68,80.35,chickpea
48.5,63.8,80.6,17.89,14.36,7.09,79.7,chickpea
37.9,63.3,75.8,18.88,14.0,7.78,80.66,chickpea
32.7,65.6,77.7,19.48,19.68,6.46,80.92,chickpea
39.2,71.5,80.6,17.87,16.36,7.0,88.61,chickpea
40.1,78.9,79.8,17.94,14.0,6.5,67.33,chickpea
41.3,70.6,75.3,20.34,16.03,7.47,92.9,chickpea
44.5,65.9,77.3,15.77,15.56,7.29,72.1,chickpea
39.3,68.0,79.3,18.02,17.34,7.62,71.28,chickpea
47.1,66.9,80.1,20.06,17.47,7.88,82.3,chickpea
36.9,69.7,76.6,19.16,16.93,7.3,78.97,chickpea
30.6,64.2,80.3,19.24,14.94,8.03,73.07,chickpea
44.8,70.1,78.1,21.66,14.61,7.86,88.0,chickpea
36.6,75.9,79.2,19.43,17.52,7.33,86.49,chickpea
44.0,57.0,83.9,16.51,19.07,7.96,71.27,chickpea
37.9,60.9,79.4,18.54,18.56,8.06,91.17,chickpea
37.2,66.2,74.9,17.79,18.93,8.21,70.13,chickpea
37.0,67.3,80.8,17.79,17.85,7.16,79.88,chickpea
42.7,67.5,78.7,18.84,16.82,7.21,77.93,chickpea
48.0,70.9,79.1,20.05,16.33,7.99,82.96,chickpea
39.5,70.2,75.3,17.31,14.61,7.47,93.86,chickpea
51.2,71.3,81.5,16.3,15.91,7.01,75.03,chickpea
39.2,64.7,74.1,20.12,14.85,7.52,96.59,chickpea
35.4,52.3,79.1,20.65,20.92,6.79,83.97,chickpea
37.7,66.9,87.9,16.75,17.51,7.63,88.69,chickpea
40.5,69.3,78.8,19.4,16.31,7.71,77.04,chickpea
41.9,67.3,83.4,18.92,14.0,8.03,72.75,chickpea
36.7,63.9,84.1,15.8,23.28,7.93,81.79,chickpea
39.7,69.2,81.6,19.97,18.11,7.44,78.42,chickpea
39.2,66.3,83.4,19.89,14.0,7.73,81.56,chickpea
39.9,65.2,83.4,20.42,15.45,7.6,72.23,chickpea
33.1,63.7,82.6,20.43,18.03,7.76,84.13,chickpea
36.8,70.1,82.4,20.13,19.38,7.75,82.81,chickpea
45.4,67.3,77.4,18.76,15.51,7.06,78.84,chickpea
36.0,65.7,74.3,19.32,17.0,6.99,85.27,chickpea
44.7,57.9,77.7,17.85,15.12,7.81,78.45,chickpea
38.7,55.5,81.9,17.14,17.12,7.54,90.89,chickpea
33.5,49.4,80.6,21.7,19.48,7.5,76.07,chickpea
44.0,61.7,81.4,19.76,19.12,8.78,83.14,chickpea
37.5,67.3,74.7,17.96,16.18,7.14,81.22,chickpea
35.9,74.2,80.0,18.99,16.34,7.48,86.6,chickpea
35.7,63.6,79.1,16.98,15.36,7.16,87.0,chickpea
41.3,68.7,82.6,18.79,17.78,7.35,82.12,chickpea
37.1,52.9,79.6,21.13,18.85,7.88,89.89,chickpea
40.4,68.7,78.1,18.53,18.23,8.0,78.88,chickpea
37.7,67.5,81.8,16.83,14.0,7.12,70.23,chickpea
37.5,66.6,78.6,21.18,17.65,7.55,84.98,chickpea
34.3,73.7,79.8,20.01,14.86,6.62,86.54,chickpea
29.0,63.0,18.3,22.25,19.12,6.08,94.19,kidneybeans
30.1,65.9,21.2,18.91,21.17,5.76,92.97,kidneybeans
30.5,64.9,19.5,18.01,16.38,5.71,133.95,kidneybeans
30.6,67.4,19.5,20.04,22.59,5.51,118.37,kidneybeans
30.4,71.1,20.9,20.04,22.85,5.87,100.75,kidneybeans
25.2,68.0,23.1,17.52,18.56,5.78,105.61,kidneybeans
28.2,68.7,19.6,22.98,18.3,5.58,103.76,kidneybeans
20.9,66.6,23.3,20.04,21.96,5.5,97.6,kidneybeans
26.0,65.9,22.6,21.12,19.28,5.8,110.98,kidneybeans
32.1,75.4,18.0,18.38,18.98,5.7,110.6,kidneybeans
31.4,67.1,19.4,20.3,19.83,6.17,85.71,kidneybeans
28.2,77.6,20.0,19.62,20.79,5.71,121.47,kidneybeans
18.7,75.2,17.2,19.47,20.64,5.87,85.82,kidneybeans
29.3,77.6,17.3,20.38,20.18,5.84,105.23,kidneybeans
24.9,69.9,23.6,19.62,22.94,5.49,93.52,kidneybeans
29.4,74.9,20.7,19.37,21.5,5.5,112.25,kidneybeans
31.0,65.2,19.1,20.53,20.63,5.74,130.2,kidneybeans
26.5,65.7,18.7,21.49,21.14,5.62,120.86,kidneybeans
33.2,64.5,16.3,22.02,20.13,5.91,81.36,kidneybeans
31.1,61.4,21.5,20.03,19.59,5.67,113.24,kidneybeans
27.9,70.4,24.0,16.87,24.73,5.77,94.21,kidneybeans
22.2,66.6,21.8,19.74,24.52,5.46,104.85,kidneybeans
22.5,69.3,21.8,19.16,16.29,5.79,110.24,kidneybeans
29.1,73.7,17.9,21.36,23.89,5.39,108.84,kidneybeans
25.5,67.1,20.7,19.03,20.15,5.76,91.95,kidneybeans
23.2,70.9,17.7,21.33,22.43,5.4,96.87,kidneybeans
32.3,62.6,19.1,20.92,23.07,5.7,97.83,kidneybeans
33.2,76.2,22.0,20.17,19.88,5.58,111.27,kidneybeans
29.2,74.5,21.3,16.99,23.6,5.55,100.39,kidneybeans
28.5,77.5,26.2,21.21,21.13,5.86,115.65,kidneybeans
26.2,76.5,20.5,21.0,22.83,5.83,115.07,kidneybeans
25.0,64.7,17.8,20.88,23.06,5.84,125.09,kidneybeans
27.5,70.8,17.8,19.23,22.89,5.92,101.47,kidneybeans
27.2,59.9,19.3,21.78,22.65,5.85,105.6,kidneybeans
27.5,64.2,21.4,20.84,22.48,5.64,79.16,kidneybeans
31.9,65.1,18.3,21.39,20.72,5.96,112.4,kidneybeans
30.2,60.7,22.4,20.52,20.76,5.78,83.69,kidneybeans
29.1,62.4,17.3,16.96,23.73,5.62,123.4,kidneybeans
25.4,59.0,17.8,22.47,21.19,5.64,106.92,kidneybeans
29.5,73.1,22.9,19.28,18.85,5.67,108.12,kidneybeans
23.6,62.7,20.7,19.9,21.57,5.6,102.24,kidneybeans
23.8,72.0,22.1,16.31,19.64,5.45,97.2,kidneybeans
27.2,60.3,18.2,17.99,21.91,5.76,96.34,kidneybeans
28.2,64.8,19.5,23.35,24.18,5.49,114.96,kidneybeans
30.7,61.8,21.6,23.08,19.25,5.57,117.21,kidneybeans
28.6,70.3,20.7,20.78,18.85,5.96,119.04,kidneybeans
26.6,67.3,16.9,21.03,22.64,5.74,118.49,kidneybeans
26.2,70.3,18.0,19.95,21.15,5.8,100.57,kidneybeans
27.0,71.6,19.1,16.79,25.0,6.03,89.49,kidneybeans
30.3,65.0,20.5,20.59,21.03,5.59,96.71,kidneybeans
23.8,63.3,19.9,18.57,22.86,6.05,98.04,kidneybeans
28.5,70.0,20.9,20.15,22.99,5.85,90.15,kidneybeans
31.0,71.9,18.5,20.08,22.87,5.71,117.88,kidneybeans
37.0,63.6,17.2,20.61,22.94,5.7,122.44,kidneybeans
22.1,71.0,18.8,23.44,25.49,5.6,98.41,kidneybeans
30.9,65.6,19.9,20.05,17.66,5.75,96.72,kidneybeans
25.5,74.7,17.5,21.63,20.94,5.69,114.48,kidneybeans
28.9,70.4,21.9,19.34,20.28,5.53,95.1,kidneybeans
39.3,73.7,17.3,17.36,22.46,5.86,111.59,kidneybeans
26.5,66.9,20.7,20.17,17.06,5.7,94.78,kidneybeans
28.2,82.4,20.7,19.37,23.34,5.85,110.04,kidneybeans
29.9,77.8,17.7,20.95,19.65,5.86,93.98,kidneybeans
25.8,66.0,22.0,21.84,19.01,5.76,96.49,kidneybeans
22.5,66.4,19.4,24.85,22.37,5.47,98.22,kidneybeans
31.6,77.9,16.8,16.24,25.24,5.83,94.58,kidneybeans
29.6,54.3,20.0,20.66,23.35,5.55,106.03,kidneybeans
23.8,68.8,18.2,19.18,19.51,5.88,115.3,kidneybeans
26.6,67.7,17.1,19.4,21.4,6.27,91.66,kidneybeans
33.4,72.5,20.6,23.52,22.24,5.83,104.36,kidneybeans
32.4,73.0,18.7,17.36,21.09,5.59,104.24,kidneybeans
32.4,65.2,19.9,20.12,23.2,5.3,97.72,kidneybeans
28.3,73.5,19.0,16.25,22.74,5.62,90.72,kidneybeans
25.0,66.6,18.8,15.59,23.29,6.0,112.82,kidneybeans
22.9,66.5,20.0,21.2,22.84,5.6,105.98,kidneybeans
29.3,74.8,21.4,21.58,21.67,6.03,109.92,kidneybeans
24.1,74.5,21.4,19.11,20.54,5.81,110.56,kidneybeans
28.3,69.1,23.4,22.14,21.88,5.94,92.61,kidneybeans
29.1,76.5,19.6,18.3,20.2,5.53,95.58,kidneybeans
26.0,60.5,20.0,21.8,19.68,6.05,111.13,kidneybeans
31.6,64.2,21.7,17.82,23.28,5.78,111.64,kidneybeans
22.8,63.0,21.2,18.1,22.43,5.48,115.18,kidneybeans
22.6,70.3,21.3,18.61,22.66,5.8,98.53,kidneybeans
23.5,57.7,20.7,16.87,21.69,5.7,113.15,kidneybeans
26.3,65.9,21.5,20.67,22.13,5.84,86.57,kidneybeans
30.5,70.6,18.0,19.51,21.42,5.72,109.01,kidneybeans
33.2,72.9,17.4,21.24,24.16,5.83,118.09,kidneybeans
35.5,72.6,20.5,22.09,21.79,5.75,100.78,kidneybeans
33.8,63.4,23.1,21.0,18.7,5.82,79.8,kidneybeans
30.0,71.9,18.8,20.25,25.41,5.65,92.29,kidneybeans
33.4,77.3,20.0,22.02,24.18,5.6,99.18,kidneybeans
32.4,75.9,21.1,18.24,25.47,5.64,100.98,kidneybeans
28.9,75.3,21.7,20.83,22.43,5.76,111.7,kidneybeans
17.4,66.0,20.5,17.7,22.27,5.71,126.07,kidneybeans
33.8,65.2,19.7,19.85,20.6,5.79,95.9,kidneybeans
23.0,70.6,21.3,18.39,23.29,5.62,108.04,kidneybeans
30.8,67.3,20.9,18.97,21.11,5.71,96.04,kidneybeans
26.8,59.8,19.0,19.43,20.99,5.7,104.26,kidneybeans
29.4,71.9,18.7,17.59,19.42,5.65,100.78,kidneybeans
24.4,61.0,19.1,20.36,22.69,5.64,100.04,kidneybeans
23.8,67.3,18.3,21.15,17.93,5.68,108.61,kidneybeans
28.2,81.0,22.2,30.49,47.02,5.11,143.79,pigeonpeas
24.2,72.1,20.4,32.27,44.32,6.87,140.18,pigeonpeas
34.8,71.6,22.5,33.24,49.47,5.04,140.82,pigeonpeas
30.9,67.3,18.7,32.4,56.02,6.62,144.07,pigeonpeas
31.3,65.7,18.1,30.65,55.31,5.86,141.35,pigeonpeas
26.3,77.0,24.8,36.94,46.7,6.15,122.25,pigeonpeas
33.4,61.7,21.9,30.31,44.56,5.58,135.88,pigeonpeas
25.3,64.8,23.2,30.29,48.6,6.61,137.3,pigeonpeas
24.6,66.3,23.9,32.89,44.84,6.24,128.47,pigeonpeas
30.2,69.5,20.9,30.82,43.07,6.27,163.43,pigeonpeas
25.0,69.8,17.3,31.33,47.34,5.55,130.95,pigeonpeas
24.8,69.0,21.1,28.02,36.9,5.7,151.87,pigeonpeas
16.5,65.0,20.4,35.28,45.57,6.19,147.12,pigeonpeas
19.0,71.3,21.9,33.52,67.13,4.96,170.87,pigeonpeas
26.4,68.9,21.4,31.65,44.65,6.16,122.24,pigeonpeas
30.5,65.4,19.2,31.6,53.79,5.73,150.38,pigeonpeas
24.6,71.3,22.9,36.2,46.62,6.33,146.47,pigeonpeas
32.7,63.9,23.0,32.11,47.18,6.05,148.78,pigeonpeas
27.0,68.6,24.7,34.47,51.85,5.77,131.66,pigeonpeas
31.3,71.9,24.4,31.29,46.35,5.18,139.11,pigeonpeas
31.5,65.2,22.8,32.12,49.12,5.43,146.28,pigeonpeas
15.5,66.6,18.2,34.91,51.39,6.23,167.82,pigeonpeas
23.7,76.2,23.4,32.03,53.18,5.45,132.63,pigeonpeas
25.1,64.9,19.4,34.95,46.21,6.18,136.44,pigeonpeas
20.2,68.9,17.7,32.36,40.66,6.99,158.67,pigeonpeas
27.9,73.8,19.8,33.59,48.5,6.13,164.09,pigeonpeas
